,name,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,contributions
0,Cynthia Jean Breyman,19292.73,19792.73,4500.0,0.0,2500.0
1,Ross Alan Schumann,0.0,0.0,0.0,0.0,0.0
2,Brandon Batch,0.0,0.0,0.0,0.0,0.0
3,Jon Mark Hogg,9767.05,2279.1,7487.95,0.0,7043.05
4,August Pfluger,704910.0,5133.58,699776.42,18096.56,832760.0
5,Wesley Virdell,0.0,0.0,0.0,0.0,0.0
6,Richard Bartlett,22620.81,22620.81,0.0,0.0,22350.0
7,Robert Tucker,245.0,594.47,520.5,3829.97,0.0
8,Wacey Alpha Cody,0.0,0.0,0.0,0.0,0.0
9,Jeffrey Cady,0.0,0.0,0.0,0.0,0.0
10,James Berryhill,0.0,0.0,0.0,0.0,0.0
11,Mike Conaway,435773.01,719009.75,815796.08,0.0,439723.01
12,Ned Luscombe,0.0,0.0,0.0,0.0,0.0
13,Casey Gray,0.0,0.0,0.0,0.0,0.0
14,James Faircloth,0.0,0.0,0.0,0.0,0.0
